robot_ratio,ft_avg_reward,ft_avg_final_distance
"[0, 100]",-501.73035555555555,0.15423333333333333
"[100, 0]",-587.9777555555555,0.17693333333333333
"[25, 75]",-581.2846222222222,0.18013333333333334
"[50, 50]",-575.6540666666666,0.17066666666666666
"[75, 25]",-592.8329222222222,0.1686777777777778
