task_ratio,ft_avg_reward,ft_avg_final_distance
"[0, 100]",-616.6389888888889,0.16724444444444445
"[100, 0]",-656.2477333333333,0.19082222222222223
"[25, 75]",-601.8840222222221,0.21155555555555558
"[50, 50]",-575.6540666666666,0.17066666666666666
"[75, 25]",-522.6910888888889,0.14925555555555556
